Tamanho, Ordem, Algoritmo, Operecoes, Tempo (ns)
100,Crescente,Selection Sort,4950,102500
100,Crescente,Insertion Sort,0,5000
100,Crescente,Shell Sort,0,17200
100,Decrescente,Selection Sort,9900,145100
100,Decrescente,Insertion Sort,4950,165100
100,Decrescente,Shell Sort,520,25000
100,Aleatoria,Selection Sort,14850,104100
100,Aleatoria,Insertion Sort,7393,61800
100,Aleatoria,Shell Sort,1176,29100
200,Crescente,Selection Sort,34750,583800
200,Crescente,Insertion Sort,7393,4900
200,Crescente,Shell Sort,1176,30700
200,Decrescente,Selection Sort,54650,453500
200,Decrescente,Insertion Sort,27293,629200
200,Decrescente,Shell Sort,2416,58000
200,Aleatoria,Selection Sort,74550,403100
200,Aleatoria,Insertion Sort,36599,269800
200,Aleatoria,Shell Sort,4472,92300
300,Crescente,Selection Sort,119400,144500
300,Crescente,Insertion Sort,36599,7200
300,Crescente,Shell Sort,4472,46000
300,Decrescente,Selection Sort,164250,117300
300,Decrescente,Insertion Sort,81449,783100
300,Decrescente,Shell Sort,6472,74700
300,Aleatoria,Selection Sort,209100,114800
300,Aleatoria,Insertion Sort,105183,80400
300,Aleatoria,Shell Sort,9790,122300
400,Crescente,Selection Sort,288900,178000
400,Crescente,Insertion Sort,105183,2500
400,Crescente,Shell Sort,9790,60400
400,Decrescente,Selection Sort,368700,269900
400,Decrescente,Insertion Sort,184983,182000
400,Decrescente,Shell Sort,12670,100400
400,Aleatoria,Selection Sort,448500,183200
400,Aleatoria,Insertion Sort,224007,115100
400,Aleatoria,Shell Sort,18468,196500
500,Crescente,Selection Sort,573250,297200
500,Crescente,Insertion Sort,224007,3300
500,Crescente,Shell Sort,18468,87400
500,Decrescente,Selection Sort,698000,610000
500,Decrescente,Insertion Sort,348757,497100
500,Decrescente,Shell Sort,22668,149000
500,Aleatoria,Selection Sort,822750,272200
500,Aleatoria,Insertion Sort,409400,145600
500,Aleatoria,Shell Sort,28746,178800
600,Crescente,Selection Sort,1002450,359400
600,Crescente,Insertion Sort,409400,4100
600,Crescente,Shell Sort,28746,125500
600,Decrescente,Selection Sort,1182150,394100
600,Decrescente,Insertion Sort,589100,333800
600,Decrescente,Shell Sort,33346,195400
600,Aleatoria,Selection Sort,1361850,350400
600,Aleatoria,Insertion Sort,678938,267900
600,Aleatoria,Shell Sort,41660,332900
700,Crescente,Selection Sort,1606500,553600
700,Crescente,Insertion Sort,678938,4600
700,Crescente,Shell Sort,41660,141700
700,Decrescente,Selection Sort,1851150,441400
700,Decrescente,Insertion Sort,923588,371100
700,Decrescente,Shell Sort,47500,116100
700,Aleatoria,Selection Sort,2095800,413100
700,Aleatoria,Insertion Sort,1044760,75700
700,Aleatoria,Shell Sort,56924,95100
800,Crescente,Selection Sort,2415400,561000
800,Crescente,Insertion Sort,1044760,1600
800,Crescente,Shell Sort,56924,57100
800,Decrescente,Selection Sort,2735000,576800
800,Decrescente,Insertion Sort,1364360,208600
800,Decrescente,Shell Sort,63484,64400
800,Aleatoria,Selection Sort,3054600,590600
800,Aleatoria,Insertion Sort,1520980,81900
800,Aleatoria,Shell Sort,78244,510500
